,group,kval,rhoval,proportion_per_capita,proportion_gross,method,baseline_1,baseline_2
0,experts,7,0.5,0.050449474976809065,0.7062926496753269,Real influence,0.007518796992481203,0.5693441926892345
0,amateurs,7,0.5,0.0024475612527056086,0.29370735032467304,Real influence,0.007518796992481203,0.4306558073107654
0,experts,7,0.75,0.005923218591097123,0.08292506027535972,Potential influence,0.007518796992481203,
0,amateurs,7,0.75,0.007642291164372002,0.9170749397246403,Potential influence,0.007518796992481203,
0,experts,7,0.75,0.04976074880551535,0.6966504832772149,Real influence,0.007518796992481203,0.5693441926892345
0,amateurs,7,0.75,0.002527912639356541,0.30334951672278493,Real influence,0.007518796992481203,0.4306558073107654
0,experts,7,1,0.005744428989198506,0.0804220058487791,Potential influence,0.007518796992481203,
0,amateurs,7,1,0.007663149951260176,0.9195779941512211,Potential influence,0.007518796992481203,
0,experts,7,1,0.04900434866674263,0.6860608813343968,Real influence,0.007518796992481203,0.5693441926892345
0,amateurs,7,1,0.00261615932221336,0.3139391186656032,Real influence,0.007518796992481203,0.4306558073107654
0,experts,7,1.25,0.005574460723691303,0.07804245013167824,Potential influence,0.007518796992481203,
0,amateurs,7,1.25,0.007682979582236014,0.9219575498683217,Potential influence,0.007518796992481203,
0,experts,7,1.25,0.04817931390766818,0.6745103947073545,Real influence,0.007518796992481203,0.5693441926892345
0,amateurs,7,1.25,0.002712413377438711,0.3254896052926453,Real influence,0.007518796992481203,0.4306558073107654
0,experts,7,1.5,0.00541335132641,0.07578691856974,Potential influence,0.007518796992481203,
0,amateurs,7,1.5,0.0077017756785855,0.92421308143026,Potential influence,0.007518796992481203,
0,experts,7,1.5,0.04728831850910355,0.6620364591274497,Real influence,0.007518796992481203,0.5693441926892345
0,amateurs,7,1.5,0.002816362840604586,0.3379635408725503,Real influence,0.007518796992481203,0.4306558073107654
0,experts,9,0,0.00736126203931597,0.10305766855042359,Potential influence,0.007518796992481203,
0,amateurs,9,0,0.007474519428746471,0.8969423314495766,Potential influence,0.007518796992481203,
0,experts,9,0,0.04945579816716138,0.6923811743402593,Real influence,0.007518796992481203,0.5693441926892345
0,amateurs,9,0,0.0025634902138311723,0.3076188256597407,Real influence,0.007518796992481203,0.4306558073107654
0,experts,9,0.25,0.007098468998415706,0.09937856597781988,Potential influence,0.007518796992481203,
0,amateurs,9,0.25,0.0075051786168515,0.90062143402218,Potential influence,0.007518796992481203,
0,experts,9,0.25,0.049216919446115844,0.6890368722456218,Real influence,0.007518796992481203,0.5693441926892345
0,amateurs,9,0.25,0.002591359397953151,0.3109631277543781,Real influence,0.007518796992481203,0.4306558073107654
0,experts,9,0.5,0.006883011252789746,0.09636215753905644,Potential influence,0.007518796992481203,
0,amateurs,9,0.5,0.007530315353841194,0.9036378424609434,Potential influence,0.007518796992481203,
0,experts,9,0.5,0.04882234705640319,0.6835128587896446,Real influence,0.007518796992481203,0.5693441926892345
0,amateurs,9,0.5,0.002637392843419628,0.31648714121035537,Real influence,0.007518796992481203,0.4306558073107654
0,experts,9,0.75,0.0066773989663973165,0.09348358552956243,Potential influence,0.007518796992481203,
0,amateurs,9,0.75,0.007554303453920315,0.9065164144704377,Potential influence,0.007518796992481203,
0,experts,9,0.75,0.04835546494377409,0.6769765092128373,Real influence,0.007518796992481203,0.5693441926892345
0,amateurs,9,0.75,0.002691862423226358,0.32302349078716297,Real influence,0.007518796992481203,0.4306558073107654
0,experts,9,1,0.006480978404550103,0.09073369766370144,Potential influence,0.007518796992481203,
0,amateurs,9,1,0.00757721918613582,0.9092663023362983,Potential influence,0.007518796992481203,
0,experts,9,1,0.04780702302303733,0.6692983223225226,Real influence,0.007518796992481203,0.5693441926892345
0,amateurs,9,1,0.0027558473139789774,0.33070167767747727,Real influence,0.007518796992481203,0.4306558073107654
0,experts,9,1.25,0.006293492834845677,0.08810889968783948,Potential influence,0.007518796992481203,
0,amateurs,9,1.25,0.007599092502601337,0.9118911003121605,Potential influence,0.007518796992481203,
0,experts,9,1.25,0.04717327717496906,0.6604258804495668,Real influence,0.007518796992481203,0.5693441926892345
