,e_a,mean_corr,disp_corr,ratings,influence,bang_for_buck
36,amateur,0.3979108051896882,0.3016216876903149,91,0.004278395719339602,4.7015337575160455e-05
37,amateur,0.144913298954139,0.3487817080664775,75,0.00199294743136389,2.6572632418185202e-05
38,amateur,0.3565769562466086,0.3689085261655931,110,0.0050883618977352885,4.625783543395717e-05
39,amateur,0.2807944691211941,0.4057951718894282,55,0.0017031764446392187,3.0966844447985795e-05
40,amateur,0.4665187469305589,0.307053093332198,68,0.0029432426844178293,4.328298065320337e-05
41,amateur,0.2788155098920808,0.2753227224780135,198,0.006179647823981709,3.1210342545362166e-05
42,amateur,0.2474793773736797,0.4241215070783732,65,0.002264195198824272,3.4833772289604185e-05
43,amateur,0.2812144800442175,0.3465064145310245,135,0.004731343883737367,3.5046991731387905e-05
44,amateur,0.1286315538863035,0.3061626586308895,117,0.0028192028325797498,2.4095750705809828e-05
45,amateur,0.4441383509575815,0.3366188246577771,60,0.0025106722412293865,4.184453735382311e-05
46,amateur,0.3801632203941338,0.3487682306425655,52,0.0018203182319185462,3.500611984458743e-05
47,amateur,0.3280059005318597,0.3423769707629701,95,0.003457988572808519,3.639987971377388e-05
48,amateur,0.291296289570133,0.3363032182589768,73,0.002395921853051603,3.2820847302076755e-05
49,amateur,0.4099911730866428,0.3321542475339996,115,0.006099465014556614,5.3038826213535775e-05
50,amateur,0.2951503262086184,0.3488663584122776,121,0.0046796250469316805,3.8674587164724634e-05
51,amateur,0.3686547680838046,0.3160302261656933,105,0.004467812778388,4.255059788940952e-05
52,amateur,0.3809193012783937,0.3403769256515891,102,0.004250445993693225,4.167103915385515e-05
53,amateur,0.2885392877888336,0.3353069930793455,88,0.0031485891227049085,3.5779421848919414e-05
54,amateur,0.2738888038743379,0.3983815854232626,51,0.0014398706709003214,2.8232758252947477e-05
55,amateur,0.4775375385315109,0.2434998324111613,59,0.0024449999958077073,4.144067789504589e-05
56,amateur,0.2144856552602498,0.2691013147657539,91,0.002315396147267545,2.5443913706236757e-05
57,amateur,0.1964050945754249,0.3999558028761507,78,0.002240588769526534,2.8725497045211976e-05
58,amateur,0.2015528534455896,0.3274731086921185,184,0.005205187637677545,2.828906324824753e-05
59,amateur,0.2888314755565689,0.3169119981963577,60,0.001824519612379386,3.04086602063231e-05
60,amateur,0.3112866634832847,0.2976169578550248,105,0.003941175701597887,3.753500668188464e-05
61,amateur,0.1282369095681567,0.4363929359456222,53,0.00141945985645637,2.678226144257302e-05
62,amateur,0.2381189859498009,0.3328040172271302,51,0.0014598018145393409,2.8623564990967467e-05
63,amateur,0.3777748700806715,0.3108945513778136,58,0.0018974333934711992,3.271436885295171e-05
64,amateur,0.3741146930552633,0.3936289598620819,59,0.0023688734937802915,4.0150398199665956e-05
65,amateur,0.2794662375688887,0.3455832765628366,79,0.002953410794349452,3.7384946763917115e-05
66,amateur,0.2615354188422688,0.2983197417376244,93,0.002846634048712167,3.060896826572222e-05
67,amateur,0.4650693024386083,0.329432775080297,56,0.0022032724877815418,3.934415156752753e-05
68,amateur,0.3043695527253496,0.3722567805627176,62,0.001932307697558565,3.116625318642847e-05
69,amateur,0.4340012770453816,0.3236609279687062,126,0.006554627838343288,5.2020855859867365e-05
70,amateur,0.2573722909581903,0.2963911613284755,135,0.004328977863267707,3.20665026908719e-05
71,amateur,0.4436230139620745,0.3014096235366401,58,0.002144204498281295,3.696904307381543e-05
72,amateur,0.2978371185968371,0.3356679831555013,76,0.0024279978184384102,3.1947339716294874e-05
73,amateur,0.3953192094697613,0.3772266595036591,80,0.0035715346745686964,4.4644183432108703e-05
74,amateur,0.3440695028854405,0.3280839564816669,69,0.0022466319490456257,3.2559883319501824e-05
75,amateur,0.2669657374459811,0.2734020758876214,211,0.007487416179281063,3.548538473592921e-05
76,amateur,0.2066339170192039,0.3909711305208526,88,0.002485844115922315,2.8248228590026304e-05
77,amateur,0.0963302751413103,0.2712989715253909,71,0.001568060610831117,2.2085360715931225e-05
78,amateur,0.2645345304791717,0.2790643430493727,62,0.0016524655160141389,2.6652669613131272e-05
79,amateur,0.4327760596973115,0.2986511953662236,65,0.0023563227966638756,3.625111994867501e-05
80,amateur,0.3557003477625902,0.3155547520060003,79,0.0027012630263876258,3.419320286566615e-05
81,amateur,0.2011708334318765,0.3644279537509809,59,0.001816528459251358,3.078861795341285e-05
82,amateur,0.2204675563998189,0.3264384241491604,144,0.004258945929427247,2.957601339880033e-05
83,amateur,-0.0690554014109344,0.3638768266277167,72,0.0012628994154378604,1.754026965885917e-05
84,amateur,0.0911953486913328,0.3441941515524896,72,0.0017297779747521306,2.4024694093779592e-05
85,amateur,0.2710634293054976,0.3407873184903519,72,0.0021590238903171468,2.9986442921071484e-05
86,amateur,0.2514522606730575,0.3099292440844411,78,0.002016091630422226,2.5847328595156742e-05
87,amateur,0.2237274064144012,0.3655185709144877,63,0.0016218091018089704,2.5743001616015404e-05
88,amateur,0.3047978664313334,0.3529415935678885,51,0.001657629732282184,3.25025437702389e-05
89,amateur,0.0634544752324526,0.4255941362000202,63,0.0015149612337965448,2.404700371105627e-05
90,amateur,0.3445668741791588,0.3905050059939152,61,0.0022608729537269105,3.706349104470345e-05
91,amateur,0.2069173726162601,0.3102031082972738,121,0.0034097396875469245,2.8179666839230782e-05
92,amateur,0.2576317584035674,0.3653042648846067,88,0.0027205383883284247,3.091520895827755e-05
93,amateur,0.0880741715616105,0.2856895791193531,54,0.0011380450311317051,2.1074907983920464e-05
94,amateur,0.2938920316867625,0.3335851583239032,53,0.001587139677216881,2.994603164560153e-05
