,group,kval,rhoval,Hi,method,baseline_1,baseline_2,IHi
0,amateurs,2,1.25,0.9797177816203138,Potential homophily,0.8947368421052632,,0.8058701955087173
0,experts,2,1.5,0.8661334312320536,Real homophily,0.09774436090225563,0.5509913756327132,
0,amateurs,2,1.5,0.4709737619551618,Real homophily,0.8947368421052632,0.42859472897987466,-4.063536849857739
0,experts,2,1.5,0.28851455289246036,Potential homophily,0.09774436090225563,,
0,amateurs,2,1.5,0.9801526134288653,Potential homophily,0.8947368421052632,,0.8100321571048533
0,experts,3,0,0.8915380952380952,Real homophily,0.09774436090225563,0.5509913756327132,
0,amateurs,3,0,0.3247316666666667,Real homophily,0.8947368421052632,0.42859472897987466,-5.46328261904762
0,experts,3,0,0.3321135419302554,Potential homophily,0.09774436090225563,,
0,amateurs,3,0,0.9678919783372147,Potential homophily,0.8947368421052632,,0.6926803640847696
0,experts,3,0.25,0.8900602709901895,Real homophily,0.09774436090225563,0.5509913756327132,
0,amateurs,3,0.25,0.34013033742981463,Real homophily,0.8947368421052632,0.42859472897987466,-5.315895341743204
0,experts,3,0.25,0.3299114079429164,Potential homophily,0.09774436090225563,,
0,amateurs,3,0.25,0.9691116839033856,Potential homophily,0.8947368421052632,,0.7043546887895482
0,experts,3,0.5,0.888529674569655,Real homophily,0.09774436090225563,0.5509913756327132,
0,amateurs,3,0.5,0.3553871121699236,Real homophily,0.8947368421052632,0.42859472897987466,-5.169866212087876
0,experts,3,0.5,0.3284985796628775,Potential homophily,0.09774436090225563,,
0,amateurs,3,0.5,0.970064494384125,Potential homophily,0.8947368421052632,,0.7134744462480536
0,experts,3,0.75,0.8869453743717222,Real homophily,0.09774436090225563,0.5509913756327132,
0,amateurs,3,0.75,0.37109264368833567,Real homophily,0.8947368421052632,0.42859472897987466,-5.019541838983075
0,experts,3,0.75,0.3274223371583202,Potential homophily,0.09774436090225563,,
0,amateurs,3,0.75,0.9708816339543933,Potential homophily,0.8947368421052632,,0.7212956392777644
0,experts,3,1,0.885306518716223,Real homophily,0.09774436090225563,0.5509913756327132,
0,amateurs,3,1,0.38720642809667777,Real homophily,0.8947368421052632,0.42859472897987466,-4.865309902503229
0,experts,3,1,0.32655030048558825,Potential homophily,0.09774436090225563,,
0,amateurs,3,1,0.9715822423171232,Potential homophily,0.8947368421052632,,0.7280014621781792
0,experts,3,1.25,0.8836123490330958,Real homophily,0.09774436090225563,0.5509913756327132,
0,amateurs,3,1.25,0.40367906739918996,Real homophily,0.8947368421052632,0.42859472897987466,-4.707643212036326
0,experts,3,1.25,0.32580649945519685,Potential homophily,0.09774436090225563,,
0,amateurs,3,1.25,0.9721806289964603,Potential homophily,0.8947368421052632,,0.7337288775375485
0,experts,3,1.5,0.8818622132367276,Real homophily,0.09774436090225563,0.5509913756327132,
0,amateurs,3,1.5,0.42044483278035566,Real homophily,0.8947368421052632,0.42859472897987466,-4.547170886245169
0,experts,3,1.5,0.3251437602238267,Potential homophily,0.09774436090225563,,
0,amateurs,3,1.5,0.9726878640743499,Potential homophily,0.8947368421052632,,0.7385838418544921
0,experts,5,0,0.8794710555353964,Real homophily,0.09774436090225563,0.5509913756327132,
0,amateurs,5,0,0.2837571283825676,Real homophily,0.8947368421052632,0.42859472897987466,-5.855467485481141
0,experts,5,0,0.38378592013182394,Potential homophily,0.09774436090225563,,
0,amateurs,5,0,0.95504474226895,Potential homophily,0.8947368421052632,,0.5697139617170925
0,experts,5,0.25,0.8788789192720168,Real homophily,0.09774436090225563,0.5509913756327132,
